% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
21,827,701,21,21,39.380952381,33.380952381,39.380952381,33.380952381,2,8,624.768865741,624.768865741,624.768865741,valid
7,161,38,7,7,23.0,5.42857142857,23.0,5.42857142857,1,2,81.1843287037,621.13150463,621.13150463,valid
1,2,8,1,1,2.0,8.0,2.0,8.0,0,1,106.640289352,0,0,valid
1,2,4,1,1,2.0,4.0,2.0,4.0,0,1,106.640289352,0,0,valid
24,3728,2013,24,24,155.333333333,83.875,155.333333333,83.875,2,8,626.947662037,629.070613426,629.070613426,valid
9,2537,1365,9,9,281.888888889,151.666666667,281.888888889,151.666666667,1,3,685.794965278,685.794965278,685.794965278,valid
2,400,10,2,2,200.0,5.0,200.0,5.0,0,1,626.914571759,0,0,valid
6,563,73,6,6,93.8333333333,12.1666666667,93.8333333333,12.1666666667,0,2,627.999490741,0,0,valid
20,1886,561,20,20,94.3,28.05,94.3,28.05,0,5,894.027905093,0,0,valid
1,522,2,1,1,522.0,2.0,522.0,2.0,0,1,3633.8915625,0,0,valid
1,1062,2,1,1,1062.0,2.0,1062.0,2.0,0,1,3633.8915625,0,0,valid
3,16,18,3,3,5.33333333333,6.0,5.33333333333,6.0,0,1,81.1853356482,0,0,valid
3,339,341,3,3,113.0,113.666666667,113.0,113.666666667,0,2,91.7938078707,0,0,valid
1,517,2,1,1,517.0,2.0,517.0,2.0,0,1,624.829375,0,0,valid
4,861,29,4,4,215.25,7.25,215.25,7.25,0,2,628.112291667,0,0,valid
1,2,8,1,1,2.0,8.0,2.0,8.0,0,1,106.640289352,0,0,valid
71,12531,4042,71,71,176.492957746,56.9295774648,176.492957746,56.9295774648,0,8,629.059027778,0,0,valid
17,5072,3553,17,17,298.352941176,209.0,298.352941176,209.0,0,7,1487.26072917,0,0,valid
