% []
@RELATION base

@ATTRIBUTE diff_commits NUMERIC
@ATTRIBUTE diff_commitsApproved NUMERIC
@ATTRIBUTE numBlobs NUMERIC
@ATTRIBUTE numPatchs NUMERIC
@ATTRIBUTE numCommits NUMERIC
@ATTRIBUTE len_times NUMERIC
@ATTRIBUTE max_times NUMERIC
@ATTRIBUTE p01_times NUMERIC
@ATTRIBUTE p02_times NUMERIC
@ATTRIBUTE mx1_times NUMERIC
@ATTRIBUTE less5_times NUMERIC
@ATTRIBUTE less10_times NUMERIC
@ATTRIBUTE len_difftimes NUMERIC
@ATTRIBUTE max_difftimes NUMERIC
@ATTRIBUTE mx1_difftimes NUMERIC
@ATTRIBUTE ones_difftimes NUMERIC
@ATTRIBUTE less5_difftimes NUMERIC
@ATTRIBUTE less10_difftimes NUMERIC
@ATTRIBUTE len_timesApproved NUMERIC
@ATTRIBUTE mean_timesApproved NUMERIC
@ATTRIBUTE median_timesApproved NUMERIC
@ATTRIBUTE max_timesApproved NUMERIC
@ATTRIBUTE p01_timesApproved NUMERIC
@ATTRIBUTE p02_timesApproved NUMERIC
@ATTRIBUTE mx1_timesApproved NUMERIC
@ATTRIBUTE less5_timesApproved NUMERIC
@ATTRIBUTE less10_timesApproved NUMERIC
@ATTRIBUTE len_difftimesApproved NUMERIC
@ATTRIBUTE max_difftimesApproved NUMERIC
@ATTRIBUTE p01_difftimesApproved NUMERIC
@ATTRIBUTE mx1__difftimesApproved NUMERIC
@ATTRIBUTE ones_difftimesApproved NUMERIC
@ATTRIBUTE less5_difftimesApproved NUMERIC
@ATTRIBUTE less10_difftimesApproved NUMERIC
@ATTRIBUTE len_groups NUMERIC
@ATTRIBUTE len_groupsApproved NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,1,0,1,44,28.2750925925,0.0,0.0,1.0,0.0,0.0,1,28.2750925925,1.0,1.0,1.0,1.0,23,28.2750925925,28.2750925925,28.2750925925,0.0,0.0,1.0,0.0,0.0,1,28.2750925925,0.0,1.0,1.0,1.0,1.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,2,5,2,3,70,20.5361574073,0.0285714285714,0.0285714285714,0.971428571429,1.0,1.0,2,20.5361574073,0.5,2.0,2.0,2.0,48,43.2912731483,44.2806250001,20.5361574073,0.0416666666667,0.0416666666667,0.958333333333,1.0,1.0,2,20.5361574073,0.0,0.5,2.0,2.0,2.0,5,5,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,4,7,3,4,279,20.5361574073,0.0430107526882,0.304659498208,0.695340501792,0.0,0.0,4,20.5361574073,0.25,4.0,4.0,4.0,208,45.6573495371,50.2871296299,20.5361574073,0.144230769231,0.264423076923,0.735576923077,0.0,0.0,4,20.5361574073,0.0,0.25,4.0,4.0,4.0,31,30,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,4,7,3,4,69,17.4244328705,0.0869565217391,0.0869565217391,0.63768115942,2.0,2.0,4,17.4244328705,0.25,4.0,4.0,4.0,46,28.5764467595,29.0357291666,17.4244328705,0.0217391304348,0.130434782609,0.5,2.0,2.0,4,17.4244328705,0.0,0.25,4.0,4.0,4.0,23,20,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,3,5,2,3,423,20.533865741,0.00236406619385,0.00236406619385,0.735224586288,1.0,1.0,3,20.533865741,0.333333333333,3.0,3.0,3.0,325,30.0931712962,30.4463888891,20.533865741,0.00307692307692,0.00307692307692,0.729230769231,1.0,1.0,3,20.533865741,0.0,0.333333333333,3.0,3.0,3.0,96,74,valid
